State,DDHQ
Alabama,<1
Alaska,5
Arizona,37
Arkansas,<1
California,>99
Colorado,93
Connecticut,99
Delaware,98
District Of Columbia,>99
Florida,17
Georgia,37
Hawaii,>99
Idaho,<1
Illinois,98
Indiana,1
Iowa,10
Kansas,<1
Kentucky,<1
Louisiana,<1
Maine,95
Maine 1,>99
Maine 2,13
Maryland,>99
Massachusetts,>99
Michigan,56
Minnesota,76
Mississippi,<1
Missouri,2
Montana,<1
Nebraska,<1
Nebraska 1,2
Nebraska 2,82
Nebraska 3,<1
Nevada,43
New Hampshire,91
New Jersey,98
New Mexico,84
New York,>99
North Carolina,36
North Dakota,<1
Ohio,11
Oklahoma,<1
Oregon,96
Pennsylvania,46
Rhode Island,97
South Carolina,3
South Dakota,<1
Tennessee,<1
Texas,10
Utah,<1
Vermont,>99
Virginia,81
Washington,>99
West Virginia,<1
Wisconsin,49
Wyoming,<1
Electoral College,N/A
